Date,Monthly Total Precipitation (in),Monthly Average Mean Temperature (degF),Monthly Total Snowfall (in),City
1950-06,1.08,56.17,0,Juneau
1950-07,7.07,54.34,0,Juneau
1950-08,4.95,55.89,0,Juneau
1950-09,7.32,49.55,0,Juneau
1950-10,3.28,38.9,,Juneau
1950-11,2.13,22.28,16.7,Juneau
1950-12,3.43,29.26,28.6,Juneau
1951-01,2.09,18.52,9.5,Juneau
1951-02,2.31,21.54,17.4,Juneau
1951-03,3.75,25.97,23.1,Juneau
1951-04,3.54,38.98,,Juneau
1951-05,2.12,46.77,0,Juneau
1951-06,4.06,52.17,0,Juneau
1951-07,2.67,60.23,0,Juneau
1951-08,2.76,55.48,0,Juneau
1951-09,3.85,50.52,0,Juneau
1951-10,3.65,37.92,,Juneau
1951-11,4.7,31.05,17.5,Juneau
1951-12,2.3,22.4,20.7,Juneau
1952-01,3.5,14.39,28.2,Juneau
1952-02,2.85,30.59,12.6,Juneau
1952-03,3.32,31.45,18.2,Juneau
1952-04,3.72,37.47,4.7,Juneau
1952-05,6.19,44.65,,Juneau
1952-06,2.44,52.23,0,Juneau
1952-07,3.71,55.52,0,Juneau
1952-08,5.9,54.03,0,Juneau
1952-09,10.84,48.7,,Juneau
1952-10,13.29,44.85,0,Juneau
1952-11,7.11,38.35,0.1,Juneau
1952-12,2.86,33.29,9.3,Juneau
1953-01,1.46,18.68,12.3,Juneau
1953-02,6.28,34.29,6.5,Juneau
1953-03,3.65,31.37,14.4,Juneau
1953-04,2.95,40.97,,Juneau
1953-05,2.51,49.13,,Juneau
1953-06,2.98,56.25,0,Juneau
1953-07,2.95,57.27,0,Juneau
1953-08,5.45,54.84,0,Juneau
1953-09,6.17,49.12,0,Juneau
1953-10,12.33,43.23,,Juneau
1953-11,2.72,33.02,9.2,Juneau
1953-12,5.02,32.23,4.8,Juneau
1954-01,2.01,20.68,10.4,Juneau
1954-02,4.22,23.61,13.8,Juneau
1954-03,1.49,30.79,14.3,Juneau
1954-04,1.95,33.03,9.5,Juneau
1954-05,2.98,46.24,0,Juneau
1954-06,1.48,53.78,0,Juneau
1954-07,3.5,54.27,0,Juneau
1954-08,1.11,56.06,0,Juneau
1954-09,5.03,49.18,0,Juneau
1954-10,6.32,42.77,0,Juneau
1954-11,5.67,38.38,2,Juneau
1954-12,5.42,28.02,23.5,Juneau
1955-01,4.03,32.05,20.2,Juneau
1955-02,3.3,29.3,23.6,Juneau
1955-03,4.72,27.77,19.4,Juneau
1955-04,2.46,38,4.1,Juneau
1955-05,4.89,42.84,,Juneau
1955-06,2.22,50.52,0,Juneau
1955-07,2.37,56.77,0,Juneau
1955-08,6.53,51.95,0,Juneau
1955-09,5.39,46.98,0,Juneau
1955-10,7.47,38.65,0.3,Juneau
1955-11,2.65,21.75,7.7,Juneau
1955-12,2.86,18.1,39.2,Juneau
1956-01,2.83,19.73,33.6,Juneau
1956-02,4.05,21.76,33.8,Juneau
1956-03,4.69,27.92,33.9,Juneau
1956-04,3,38.72,6.6,Juneau
1956-05,4.83,45.23,0,Juneau
1956-06,3.42,50.03,0,Juneau
1956-07,2.96,56.27,0,Juneau
1956-08,9.99,53.92,0,Juneau
1956-09,4.59,48.15,,Juneau
1956-10,6.5,37.52,15.6,Juneau
1956-11,11.22,38.4,5.2,Juneau
1956-12,9.89,23.48,44.8,Juneau
1957-01,1.05,20.56,3.4,Juneau
1957-02,3.99,25.25,54.3,Juneau
1957-03,1.35,32.82,5.2,Juneau
1957-04,3.65,38.57,1,Juneau
1957-05,2.44,47.92,0,Juneau
1957-06,1.44,54.87,0,Juneau
1957-07,2.83,55.42,0,Juneau
1957-08,1.5,57.58,0,Juneau
1957-09,5.61,52.35,0,Juneau
1957-10,3.94,41.85,0,Juneau
1957-11,8.55,37.82,4.6,Juneau
1957-12,3.76,29.35,39,Juneau
1958-01,4.9,32.74,19.5,Juneau
1958-02,2,27.09,13.4,Juneau
1958-03,1.2,32.92,1.6,Juneau
1958-04,1.96,42.52,,Juneau
1958-05,4.13,48.05,0,Juneau
1958-06,2.65,56.45,0,Juneau
1958-07,4.31,57.34,0,Juneau
1958-08,4.2,54.47,0,Juneau
1958-09,5.06,47.35,0,Juneau
1958-10,9.39,41.06,3.4,Juneau
1958-11,4.31,33.88,28.1,Juneau
1958-12,7.45,29.97,28.3,Juneau
1959-01,1.39,17.97,13.6,Juneau
1959-02,4.15,28.23,19.2,Juneau
1959-03,4.56,33.82,28.3,Juneau
1959-04,3.42,38.73,6.9,Juneau
1959-05,3.79,45.98,0,Juneau
1959-06,1.36,55.22,0,Juneau
1959-07,7.39,54.11,0,Juneau
1959-08,5.39,52.56,0,Juneau
1959-09,5.51,48.17,0,Juneau
1959-10,6.04,40.29,,Juneau
1959-11,6.82,34.4,8.8,Juneau
1959-12,5.88,34.89,12,Juneau
1960-01,3.86,27.74,26.6,Juneau
1960-02,2.05,33.33,2.3,Juneau
1960-03,4.84,31.92,17.9,Juneau
1960-04,3.13,40.85,1.3,Juneau
1960-05,1.52,49.5,0,Juneau
1960-06,3.51,51.07,0,Juneau
1960-07,4.31,54.37,0,Juneau
1960-08,4.77,53.27,0,Juneau
1960-09,8.47,49.17,0,Juneau
1960-10,8.95,43.45,0,Juneau
1960-11,4.97,34.25,7,Juneau
1960-12,7.39,33.85,13.1,Juneau
1961-01,3.76,30.47,18.9,Juneau
1961-02,4.07,31.5,25.9,Juneau
1961-03,2.67,34.5,16.3,Juneau
1961-04,3.92,39.92,6.3,Juneau
1961-05,4.75,47.37,0,Juneau
1961-06,3.22,52.42,0,Juneau
1961-07,6.04,56.26,0,Juneau
1961-08,12.31,53.89,0,Juneau
1961-09,7.01,47.67,0,Juneau
1961-10,10.2,40.24,0.6,Juneau
1961-11,6.12,30.55,6,Juneau
1961-12,4.04,24.55,26.4,Juneau
1962-01,6.99,26.65,31.5,Juneau
1962-02,0.96,25.64,7.7,Juneau
1962-03,5,29.4,37.4,Juneau
1962-04,1.99,39.53,1.8,Juneau
1962-05,2.85,44.52,,Juneau
1962-06,4.75,49.9,0,Juneau
1962-07,4.75,56.69,0,Juneau
1962-08,5.21,54.79,0,Juneau
1962-09,9.75,48.53,0,Juneau
1962-10,7.39,43.92,0,Juneau
1962-11,4.03,37.77,6.5,Juneau
1962-12,8.16,28.24,41.3,Juneau
1963-01,6.55,27.69,12.2,Juneau
1963-02,6.03,33.05,15.7,Juneau
1963-03,3.69,31.84,28.9,Juneau
1963-04,3.85,36.55,46.3,Juneau
1963-05,2.02,48.71,0,Juneau
1963-06,4.53,50.38,0,Juneau
1963-07,5.22,55.4,0,Juneau
1963-08,1.2,56.9,0,Juneau
1963-09,8.05,52.22,0,Juneau
1963-10,7.78,44.61,,Juneau
1963-11,3.91,28.3,20.1,Juneau
1963-12,4.56,32.68,7.2,Juneau
1964-01,3.19,29.32,13.4,Juneau
1964-02,8.48,35.88,19.4,Juneau
1964-03,4.38,28.73,38.9,Juneau
1964-04,4.04,38.58,4.4,Juneau
1964-05,4.35,45.11,1.2,Juneau
1964-06,3.37,53.57,0,Juneau
1964-07,6.94,54.31,0,Juneau
1964-08,3.48,53.58,0,Juneau
1964-09,2.59,49.67,0,Juneau
1964-10,7.35,44.95,,Juneau
1964-11,4.89,32.08,3.1,Juneau
1964-12,5.22,16.58,54.7,Juneau
1965-01,7.75,23.1,45.2,Juneau
1965-02,5.1,23.57,86.3,Juneau
1965-03,1.66,35,4,Juneau
1965-04,3.33,37.68,0.8,Juneau
1965-05,4.45,42.35,0.2,Juneau
1965-06,3.11,48.45,0,Juneau
1965-07,2.26,55.32,0,Juneau
1965-08,4.17,55.15,0,Juneau
1965-09,2.34,50.22,0,Juneau
1965-10,7.99,43.66,0.3,Juneau
1965-11,1.46,29.92,9.6,Juneau
1965-12,4.26,26.58,16.9,Juneau
1966-01,4.34,8.55,54.8,Juneau
1966-02,3.13,25.84,17.6,Juneau
1966-03,6.36,30.18,49,Juneau
1966-04,2.08,38.02,1.5,Juneau
1966-05,6.33,43.21,,Juneau
1966-06,1.74,52.93,0,Juneau
1966-07,3.91,56.24,0,Juneau
1966-08,6.37,52.37,0,Juneau
1966-09,8.2,49.23,0,Juneau
1966-10,6.97,38.56,4.3,Juneau
1966-11,4.39,25.07,20,Juneau
1966-12,4.48,26.45,19.6,Juneau
1967-01,4.04,23.11,38.2,Juneau
1967-02,4.74,30.41,32,Juneau
1967-03,1.34,24.06,6.6,Juneau
1967-04,1.12,37.28,3,Juneau
1967-05,2.94,45.61,0,Juneau
1967-06,2.87,54.75,0,Juneau
1967-07,4.26,53.77,0,Juneau
1967-08,5.46,55.05,0,Juneau
1967-09,8.53,49.97,0,Juneau
1967-10,5.71,43.1,0,Juneau
1967-11,5.81,32.33,9.5,Juneau
1967-12,3.25,27.29,21.1,Juneau
1968-01,3.25,18.66,31.1,Juneau
1968-02,5.3,28.76,17,Juneau
1968-03,3.85,33.08,8.2,Juneau
1968-04,3.25,37.87,6.1,Juneau
1968-05,1.45,48.4,,Juneau
1968-06,1.95,52.2,0,Juneau
1968-07,4.6,56.76,0,Juneau
1968-08,2.39,55.66,0,Juneau
1968-09,10.14,47.58,0,Juneau
1968-10,4.6,38.92,,Juneau
1968-11,5.34,34.1,8.7,Juneau
1968-12,1.9,19.42,35.6,Juneau
1969-01,0.94,6.77,28.2,Juneau
1969-02,0.68,21.16,17.1,Juneau
1969-03,4.17,30.71,27.9,Juneau
1969-04,1.74,40.58,,Juneau
1969-05,3.38,49.84,0,Juneau
1969-06,2.41,57.77,0,Juneau
1969-07,7.88,53.66,0,Juneau
1969-08,7.54,50.29,0,Juneau
1969-09,5.44,47.37,0,Juneau
1969-10,3.77,41.37,0,Juneau
1969-11,8.69,32.23,18.2,Juneau
1969-12,4.36,35.06,0.7,Juneau
1970-01,2.37,21.94,15.8,Juneau
1970-02,3.35,35.07,2,Juneau
1970-03,4.08,36.53,1.1,Juneau
1970-04,3.69,39.07,3.5,Juneau
1970-05,3.92,45.26,0,Juneau
1970-06,2.97,50.68,,Juneau
1970-07,5.01,52.26,0,Juneau
1970-08,7.47,51.68,0,Juneau
1970-09,9.86,46.3,,Juneau
1970-10,5.87,39.52,0.4,Juneau
1970-11,2.01,27.8,24.3,Juneau
1970-12,2.58,21.55,26.2,Juneau
1971-01,5.56,13,51,Juneau
1971-02,3.93,28.04,21.5,Juneau
1971-03,3.33,28.89,50.6,Juneau
1971-04,2.44,38.58,1.1,Juneau
1971-05,4.3,43.52,,Juneau
1971-06,1.74,53.17,0,Juneau
1971-07,1.67,57.45,0,Juneau
1971-08,6.89,55.39,0,Juneau
1971-09,5.36,48.03,0,Juneau
1971-10,5.8,38.5,6.9,Juneau
1971-11,4.38,31.4,20.5,Juneau
1971-12,3.23,20.89,37.1,Juneau
1972-01,3.73,15.77,45.1,Juneau
1972-02,2.71,19.47,31.1,Juneau
1972-03,4.19,26.5,27.1,Juneau
1972-04,3.62,34.57,10.3,Juneau
1972-05,4.03,44.79,0,Juneau
1972-06,3.98,50.43,0,Juneau
1972-07,1.15,58,0,Juneau
1972-08,8.62,55.4,0,Juneau
1972-09,6.24,46.95,0,Juneau
1972-10,8.49,38.63,2.2,Juneau
1972-11,3.35,34.52,2.8,Juneau
1972-12,3.56,23.52,31.6,Juneau
1973-01,4.37,18.89,63.8,Juneau
1973-02,3.94,24.54,20.9,Juneau
1973-03,3.01,32.92,9.6,Juneau
1973-04,2.41,39.62,0.5,Juneau
1973-05,4.09,45.92,0,Juneau
1973-06,2.8,51.23,0,Juneau
1973-07,3.65,53.73,0,Juneau
1973-08,6.64,51.74,0,Juneau
1973-09,4.95,47.95,0,Juneau
1973-10,6.07,41.21,,Juneau
1973-11,1.63,22.98,18.6,Juneau
1973-12,2.3,27.97,15.7,Juneau
1974-01,2.37,14.77,36,Juneau
1974-02,6.23,28.8,32.8,Juneau
1974-03,1.15,24.71,15.3,Juneau
1974-04,2.59,39.27,0.5,Juneau
1974-05,1.66,46.77,0,Juneau
1974-06,4.92,50.23,0,Juneau
1974-07,3.12,53.48,0,Juneau
1974-08,5.78,54.71,0,Juneau
1974-09,5.96,50.02,,Juneau
1974-10,15.25,42.45,0.9,Juneau
1974-11,7.79,36.38,3.5,Juneau
1974-12,7.03,33.84,15.5,Juneau
1975-01,4.1,23.05,41.5,Juneau
1975-02,3.76,24.46,16.5,Juneau
1975-03,2.17,30.52,18.9,Juneau
1975-04,3.04,38.33,4.5,Juneau
1975-05,3.59,47.34,0,Juneau
1975-06,2.48,51.38,0,Juneau
1975-07,4.96,55.9,0,Juneau
1975-08,2.78,53.9,0,Juneau
1975-09,7.25,51.37,0,Juneau
1975-10,3.55,41.74,5.3,Juneau
1975-11,2.83,28.5,32.5,Juneau
1975-12,5.81,24.66,51,Juneau
1976-01,8.19,28.31,32.9,Juneau
1976-02,4.82,25.78,34.1,Juneau
1976-03,3.61,32.31,25.5,Juneau
1976-04,2.14,41.05,2.3,Juneau
1976-05,3.42,45.52,0,Juneau
1976-06,3.37,51.97,0,Juneau
1976-07,2.48,55.73,0,Juneau
1976-08,3.16,55.9,0,Juneau
1976-09,8.32,50.53,0,Juneau
1976-10,6.19,42.79,1.2,Juneau
1976-11,5.15,40.93,1.1,Juneau
1976-12,5.56,34.42,26.3,Juneau
1977-01,4.59,35.03,5,Juneau
1977-02,4.56,40.07,,Juneau
1977-03,3.31,36.02,12.7,Juneau
1977-04,4.02,42.32,,Juneau
1977-05,1.56,47.61,0,Juneau
1977-06,3.47,54.08,0,Juneau
1977-07,3.19,56.98,0,Juneau
1977-08,3.03,58.47,0,Juneau
1977-09,5.57,50.5,0,Juneau
1977-10,7.14,42.4,,Juneau
1977-11,4.58,29.37,27.4,Juneau
1977-12,2.16,18.94,16.6,Juneau
1978-01,1.71,25.05,5.2,Juneau
1978-02,1.5,31.84,1.1,Juneau
1978-03,1.84,33.89,1.7,Juneau
1978-04,2.19,42,0.4,Juneau
1978-05,2.86,47.82,0,Juneau
1978-06,3.18,54.2,0,Juneau
1978-07,3.98,55.21,0,Juneau
1978-08,4.39,56.27,0,Juneau
1978-09,3.07,50.58,0,Juneau
1978-10,13,45.05,0,Juneau
1978-11,3.9,30.23,14.9,Juneau
1978-12,4.46,28.24,21.6,Juneau
1979-01,2.19,20.61,24.2,Juneau
1979-02,0.91,11.02,21.4,Juneau
1979-03,3.98,35.56,5.4,Juneau
1979-04,0.98,41.07,,Juneau
1979-05,2.45,47.68,0,Juneau
1979-06,2.74,52.15,0,Juneau
1979-07,5.44,56.68,0,Juneau
1979-08,0.56,58.21,0,Juneau
1979-09,4.89,50.93,0,Juneau
1979-10,9.06,45.11,0,Juneau
1979-11,8.36,37.15,1.6,Juneau
1979-12,7.73,26.5,48.4,Juneau
1980-01,3.44,19.5,41.6,Juneau
1980-02,2.83,33.79,4.1,Juneau
1980-03,2.75,34.11,2.4,Juneau
1980-04,5.32,42.17,,Juneau
1980-05,2.53,49.37,0,Juneau
1980-06,4.37,55.53,0,Juneau
1980-07,6.49,55.61,0,Juneau
1980-08,5.61,54.73,0,Juneau
1980-09,7.91,48.98,0,Juneau
1980-10,11.26,44.56,0,Juneau
1980-11,7.1,38.65,0.5,Juneau
1980-12,2.27,21.69,40.5,Juneau
1981-01,4.66,37.6,2.4,Juneau
1981-02,2.57,32.68,16.4,Juneau
1981-03,1.88,39.34,0.5,Juneau
1981-04,2.11,39.07,2.2,Juneau
1981-05,3.27,52.03,0,Juneau
1981-06,2.44,54.23,0,Juneau
1981-07,4.25,56.1,0,Juneau
1981-08,6.19,55.85,0,Juneau
1981-09,11.61,49.17,0,Juneau
1981-10,6.18,42.76,0,Juneau
1981-11,6.93,36.77,4,Juneau
1981-12,2.24,26.82,6,Juneau
1982-01,3.74,13.79,69.2,Juneau
1982-02,1.42,21.32,29.6,Juneau
1982-03,2.52,31.81,8.4,Juneau
1982-04,2.44,37.07,1.1,Juneau
1982-05,5.1,45.35,,Juneau
1982-06,1.86,56.25,0,Juneau
1982-07,1.73,57.63,0,Juneau
1982-08,5.97,54.74,0,Juneau
1982-09,5.1,50.32,0,Juneau
1982-10,7.97,42.19,2,Juneau
1982-11,2.1,30.53,0.4,Juneau
1982-12,1.17,31.58,10.8,Juneau
1983-01,4,30.15,40.1,Juneau
1983-02,1.69,31.79,15.7,Juneau
1983-03,0.59,34.77,0.2,Juneau
1983-04,2.52,42.58,,Juneau
1983-05,5.37,49.61,0,Juneau
1983-06,2.69,55.6,0,Juneau
1983-07,3.16,57.06,0,Juneau
1983-08,9.52,54.53,0,Juneau
1983-09,6.13,48,0,Juneau
1983-10,4.24,42.1,0,Juneau
1983-11,1.15,31.73,8.1,Juneau
1983-12,0.49,18.82,13.3,Juneau
1984-01,6.06,32.02,43.1,Juneau
1984-02,5.4,35.86,0.7,Juneau
1984-03,3.75,39.6,1,Juneau
1984-04,2.11,43.08,,Juneau
1984-05,1.84,49.08,,Juneau
1984-06,4.17,53.5,0,Juneau
1984-07,6.92,55.5,0,Juneau
1984-08,6.26,55.32,0,Juneau
1984-09,3.39,49.97,0,Juneau
1984-10,6.69,40.42,0,Juneau
1984-11,5.99,31.53,5.2,Juneau
1984-12,5.1,24.24,26.4,Juneau
1985-01,10.13,36.37,7.1,Juneau
1985-02,7,27.05,32,Juneau
1985-03,4.67,35.31,6.9,Juneau
1985-04,3.96,38.3,1.3,Juneau
1985-05,4.09,45.71,0,Juneau
1985-06,4.07,51.37,0,Juneau
1985-07,3.28,55.92,0,Juneau
1985-08,3.53,53.58,0,Juneau
1985-09,4.81,48.93,0,Juneau
1985-10,4.85,39.56,0.8,Juneau
1985-11,1.54,20.98,10.1,Juneau
1985-12,8.33,32.48,2,Juneau
1986-01,7,34.32,10.3,Juneau
1986-02,3.25,28.66,7.4,Juneau
1986-03,6.08,35.31,30.4,Juneau
1986-04,2.98,37.32,4.4,Juneau
1986-05,2.54,46.52,,Juneau
1986-06,2.76,54.27,0,Juneau
1986-07,2.38,56.74,0,Juneau
1986-08,6.89,54.4,0,Juneau
1986-09,2.4,50.72,0,Juneau
1986-10,12.33,45.76,,Juneau
1986-11,5.87,30.48,22.1,Juneau
1986-12,6.42,36,1.4,Juneau
1987-01,3.99,33.11,3.3,Juneau
1987-02,3.13,34.73,1.4,Juneau
1987-03,2.12,31.82,7.3,Juneau
1987-04,2.08,41.53,,Juneau
1987-05,2.6,47.81,0,Juneau
1987-06,6.02,51.6,0,Juneau
1987-07,2.54,58.55,0,Juneau
1987-08,4.54,57.5,0,Juneau
1987-09,8.92,50.05,0,Juneau
1987-10,10.36,44.34,,Juneau
1987-11,7.17,40.02,4.6,Juneau
1987-12,5.32,34.23,6.8,Juneau
1988-01,2.58,27,3.5,Juneau
1988-02,6.55,32.53,8,Juneau
1988-03,4.15,37.56,1,Juneau
1988-04,2.25,41.67,0.5,Juneau
1988-05,3.91,48.42,0,Juneau
1988-06,2.05,54,0,Juneau
1988-07,5.21,53.74,0,Juneau
1988-08,5.53,53.82,0,Juneau
1988-09,5.46,48.13,0,Juneau
1988-10,9.71,44.08,0,Juneau
1988-11,8.62,36.18,4.8,Juneau
1988-12,4.75,31.27,11.3,Juneau
1989-01,6.77,25.47,44.7,Juneau
1989-02,0.07,23.91,0.2,Juneau
1989-03,1.33,29.37,10,Juneau
1989-04,0.87,42.7,,Juneau
1989-05,3.44,48.92,0,Juneau
1989-06,1.1,55.38,0,Juneau
1989-07,3.81,60.05,0,Juneau
1989-08,2.82,58.11,0,Juneau
1989-09,7.29,52.37,0,Juneau
1989-10,6.37,41.71,0.6,Juneau
1989-11,6.23,32.83,32.5,Juneau
1989-12,6.78,36.02,6.4,Juneau
1990-01,3.72,26.37,36.5,Juneau
1990-02,4.54,25.11,39.4,Juneau
1990-03,4.86,36.39,0.6,Juneau
1990-04,1.06,42.72,0,Juneau
1990-05,1.72,49.71,0,Juneau
1990-06,3.32,54.97,0,Juneau
1990-07,4.65,59.27,0,Juneau
1990-08,5.35,58.06,0,Juneau
1990-09,10.63,51.22,0,Juneau
1990-10,6.59,40.65,0,Juneau
1990-11,4.89,26.35,48.8,Juneau
1990-12,6.03,23.63,33.2,Juneau
1991-01,4.16,24.84,31.8,Juneau
1991-02,6.55,35.34,15.5,Juneau
1991-03,4.41,33.11,9.4,Juneau
1991-04,4.73,41.62,0.8,Juneau
1991-05,4.72,48.18,,Juneau
1991-06,3.41,55.02,0,Juneau
1991-07,4.85,55.23,0,Juneau
1991-08,9.6,54.98,0,Juneau
1991-09,15.14,50.28,0,Juneau
1991-10,8.63,40.13,5.4,Juneau
1991-11,9.63,36.22,7.7,Juneau
1991-12,9.32,33.6,49.3,Juneau
1992-01,8.69,35.63,14.3,Juneau
1992-02,7.24,32.66,12.4,Juneau
1992-03,6.37,36.92,4.1,Juneau
1992-04,3.63,41.03,,Juneau
1992-05,9.2,46.35,,Juneau
1992-06,2.98,55.17,0,Juneau
1992-07,5.18,56.94,0,Juneau
1992-08,5.02,55.9,0,Juneau
1992-09,11.45,46.73,0,Juneau
1992-10,5.9,40.52,1.1,Juneau
1992-11,7.91,38.38,4.4,Juneau
1992-12,5.73,25.52,25,Juneau
1993-01,9.11,24.48,32.5,Juneau
1993-02,8.09,30.21,36.8,Juneau
1993-03,3.5,35.79,2.6,Juneau
1993-04,1.94,44.4,,Juneau
1993-05,2.19,52.03,0,Juneau
1993-06,4.92,55.8,0,Juneau
1993-07,2.25,59.58,0,Juneau
1993-08,3.2,57.03,0,Juneau
1993-09,8.44,51.23,0,Juneau
1993-10,9,45.84,0,Juneau
1993-11,11.06,36.83,4.3,Juneau
1993-12,7.89,35.92,10.4,Juneau
1994-01,7.05,27.68,61.2,Juneau
1994-02,2.52,18.38,32.4,Juneau
1994-03,6.5,36.68,22.9,Juneau
1994-04,3.68,43.33,,Juneau
1994-05,4.2,48.11,0,Juneau
1994-06,1.83,54.83,0,Juneau
1994-07,4.32,57.39,0,Juneau
1994-08,2.68,59.31,0,Juneau
1994-09,11.17,50.17,0,Juneau
1994-10,9.15,43.26,0,Juneau
1994-11,9.57,29.4,69.8,Juneau
1994-12,6.22,27.65,25.8,Juneau
1995-01,1.94,27.15,8.6,Juneau
1995-02,2.76,28.96,14,Juneau
1995-03,3.01,30.32,28.4,Juneau
1995-04,2.08,43.4,,Juneau
1995-05,2.85,51.39,0,Juneau
1995-06,3.45,55.32,0,Juneau
1995-07,4.36,56.98,0,Juneau
1995-08,5.01,54.81,0,Juneau
1995-09,7.43,53.77,0,Juneau
1995-10,6.04,43.72,0,Juneau
1995-11,2.93,32.35,2.9,Juneau
1995-12,4.58,25.16,23,Juneau
1996-01,2.26,16.55,20.8,Juneau
1996-02,8.43,28.93,33.1,Juneau
1996-03,4.12,32.77,5.5,Juneau
1996-04,2.19,40.72,,Juneau
